id,Name,Address,Website,Instate-On campus,Instate-Off campus,Instate-Off Campus with Family,Outstate-On campus,Outstate-Off campus,Outstate-Off Campus with Family
222178,Abilene Christian University,"Abilene Christian University
Address :  , Abilene, Texas 79699",www.acu.edu,"$45,980",,,"$45,980","$36,670",
138558,Abraham Baldwin Agricultural College,"Abraham Baldwin Agricultural College
Address : 2802 Moore Hwy, Tifton, Georgia 31793-2601",www.abac.edu,"$15,025","$14,053","$7,653","$21,632","$20,660","$14,260"
488031,Abraham Lincoln University,"Abraham Lincoln University
Address : 3530 Wilshire Boulevard, Suite 1430, Los Angeles, California 90010",www.alu.edu/,"$117,284",,"$60,356",,,
172866,Academy College,"Academy College
Address : 1600 W. 82nd Street, Suite 100, Bloomington, Minnesota 55431-1411",www.academycollege.edu,"$36,650",,"$28,111",,,
108232,Academy of Art University,"Academy of Art University
Address : 79 New Montgomery, San Francisco, California 94105",www.academyart.edu,"$41,234",,,"$39,804","$27,438",
439969,Acupuncture and Massage College,"Acupuncture and Massage College
Address : 10506 N Kendall Drive, Miami, Florida 33176",www.amcollege.edu,"$37,407",,"$17,127",,,
126182,Adams State University,"Adams State University
Address : 208 Edgemont Blvd, Alamosa, Colorado 81101",www.adams.edu,"$22,266","$23,409","$13,563","$33,282","$34,425","$24,579"
188429,Adelphi University,"Adelphi University
Address : South Ave, Garden City, New York 11530-0701",www.adelphi.edu/,"$53,688",,,"$53,688","$43,720",
168528,Adrian College,"Adrian College
Address : 110 S Madison St, Adrian, Michigan 49221-2575",www.adrian.edu,"$50,706",,,"$50,706","$39,966",
133872,Adventist University of Health Sciences,"Adventist University of Health Sciences
Address : 671 Winyah Drive, Orlando, Florida 32803",www.adu.edu,"$26,556",,,"$31,700","$20,430",
138600,Agnes Scott College,"Agnes Scott College
Address : 141 E. College Ave., Decatur, Georgia 30030-3770",www.agnesscott.edu,"$51,992",,,"$42,972","$40,472",
134811,AI Miami International University of Art and Design,"AI Miami International University of Art and Design
Address : 1501 Biscayne Boulevard, Miami, Florida 33132-1418",www.artinstitutes.edu/miami/,"$32,433",,,"$31,010","$23,003",
100654,Alabama A & M University,"Alabama A &amp; M University
Address : 4900 Meridian Street, Normal, Alabama 35762",www.aamu.edu/,"$22,886","$22,886","$14,056","$31,016","$31,016","$22,186"
100724,Alabama State University,"Alabama State University
Address : 915 S Jackson Street, Montgomery, Alabama 36104-0271",www.alasu.edu,"$19,634","$22,368","$15,048","$26,570","$29,304","$21,984"
102580,Alaska Bible College,"Alaska Bible College
Address : 248 E Elmwood, Palmer, Alaska 99645",www.akbible.edu/,"$19,560",,,"$24,297","$13,860",
102669,Alaska Pacific University,"Alaska Pacific University
Address : 4101 University Dr, Anchorage, Alaska 99508",www.alaskapacific.edu,"$33,690",,,"$40,750","$25,690",
188526,Albany College of Pharmacy and Health Sciences,"Albany College of Pharmacy and Health Sciences
Address : 106 New Scotland Avenue, Albany, New York 12208-3492",www.acphs.edu,"$46,279",,,"$48,099","$37,279",
138716,Albany State University,"Albany State University
Address : 504 College Drive, Albany, Georgia 31705",www.asurams.edu/,"$17,398","$21,270","$10,648","$27,646","$31,518","$20,896"
128498,Albertus Magnus College,"Albertus Magnus College
Address : 700 Prospect St, New Haven, Connecticut 06511-1189",www.albertus.edu,"$51,530",,,"$50,567","$38,302",
168546,Albion College,"Albion College
Address : 611 E Porter St, Albion, Michigan 49224",www.albion.edu,"$54,150",,,"$54,150","$42,860",
210571,Albright College,"Albright College
Address : 1621 N. 13th St., Reading, Pennsylvania 19612-5234",www.albright.edu,"$55,992",,,"$56,392","$45,204",
175342,Alcorn State University,"Alcorn State University
Address : 1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500",www.alcorn.edu,"$22,644",,,"$24,170","$14,814",
237118,Alderson Broaddus University,"Alderson Broaddus University
Address : 101 College Hill Drive, Philippi, West Virginia 26416-2035",www.ab.edu/,"$37,162",,,"$39,305","$29,882",
188641,Alfred University,"Alfred University
Address : One Saxon Drive, Alfred, New York 14802-1205",www.alfred.edu,"$42,524",,,"$42,524","$34,698",
156189,Alice Lloyd College,"Alice Lloyd College
Address : 100 Purpose Rd, Pippa Passes, Kentucky 41844",www.alc.edu,"$24,290",,,"$21,800","$17,950",
210669,Allegheny College,"Allegheny College
Address : 520 N Main St, Meadville, Pennsylvania 16335-3902",www.allegheny.edu,"$58,920",,,"$56,420","$47,750",
200873,Allegheny Wesleyan College,"Allegheny Wesleyan College
Address : 2161 Woodsdale Rd, Salem, Ohio 44460-9598",awc.edu,"$12,412",,,"$11,340","$8,860",
152798,Allen College,"Allen College
Address : 1990 Heath St, Waterloo, Iowa 50703-1999",www.allencollege.edu,"$31,185",,"$23,904",,,
217624,Allen University,"Allen University
Address : 1530 Harden Street, Columbia, South Carolina 29204",www.allenuniversity.edu/,"$22,800",,,"$21,240","$17,440",
110468,Alliant International University-San Diego,"Alliant International University-San Diego
Address : 10455 Pomerado Road, San Diego, California 92131",www.alliant.edu,"$37,040",,"$24,212",,,
168591,Alma College,"Alma College
Address : 614 W Superior, Alma, Michigan 48801-1599",alma.edu,"$50,613",,,"$50,613","$40,375",
210775,Alvernia University,"Alvernia University
Address : 400 Saint Bernardine St, Reading, Pennsylvania 19607-1799",www.alvernia.edu,"$47,510",,,"$42,470","$36,270",
238193,Alverno College,"Alverno College
Address : 3400 S 43rd  St, Milwaukee, Wisconsin 53234-3922",www.alverno.edu,"$38,551",,,"$39,472","$31,622",
222628,Amberton University,"Amberton University
Address : 1700 Eastgate Dr, Garland, Texas 75041-5595",www.amberton.edu,,,,,,
457527,Ambria College of Nursing,"Ambria College of Nursing
Address : 5210 Trillium Blvd, Hoffman Estates, Illinois 60192",ambria.edu,"$77,913",,"$47,110",,,
142887,American Academy of Art,"American Academy of Art
Address : 332 S Michigan Ave, Chicago, Illinois 60604-4302",www.aaart.edu,"$42,974",,"$36,885",,,
219505,American Baptist College,"American Baptist College
Address : 1800 Baptist World Ctr Dr, Nashville, Tennessee 37207-9980",www.abcnash.edu,"$24,644",,,"$25,628","$16,004",
457688,American Business and Technology University,"American Business and Technology University
Address : 1018 W St Maartens Dr, St Joseph, Missouri 64506",abtu.edu,"$62,590",,"$24,610",,,
461005,American College for Medical Careers,"American College for Medical Careers
Address : 5959 Lake Ellenor Lake, Orlando, Florida 32809",www.acmc.edu,"$67,630",,"$42,110",,,
438586,American InterContinental University-Atlanta,"American InterContinental University-Atlanta
Address : 6600 Peachtree Dunwoody Road, 500 Embassy Row, Atlanta, Georgia 30328",www.aiuniv.edu/online-campus/campus-locations/atlanta,"$26,141",,"$19,533",,,
445133,American InterContinental University-Houston,"American InterContinental University-Houston
Address : 9999 Richmond Avenue, Houston, Texas 77042",www.aiuniv.edu/online-campus/campus-locations/houston,"$24,804",,"$18,196",,,
